tight 	 AK10LCTRIMF5R20	 pt200  	 tau21   	 77 	 87 	 LEFT 	0.32
tight 	 AK10LCTRIMF5R20	 pt200  	 c2beta1 	 77 	 87 	 LEFT 	0.184
tight 	 AK10LCTRIMF5R20	 pt200  	 d2beta1 	 77 	 87 	 LEFT 	1.1
tight 	 AK10LCTRIMF5R20	 pt350  	 tau21   	 75 	 87 	 LEFT 	0.37
tight 	 AK10LCTRIMF5R20	 pt350  	 c2beta1 	 75 	 87 	 LEFT 	0.132
tight 	 AK10LCTRIMF5R20	 pt350  	 d2beta1 	 75 	 87 	 LEFT 	1.25
tight 	 AK10LCTRIMF5R20	 pt500  	 tau21   	 79 	 89 	 LEFT 	0.41
tight 	 AK10LCTRIMF5R20	 pt500  	 c2beta1 	 79 	 89 	 LEFT 	0.102
tight 	 AK10LCTRIMF5R20	 pt500  	 d2beta1 	 79 	 89 	 LEFT 	1.4
tight 	 AK10LCTRIMF5R20	 pt1000 	 tau21   	 85 	 99 	 LEFT 	0.45
tight 	 AK10LCTRIMF5R20	 pt1000 	 c2beta1 	 85 	 99 	 LEFT 	0.069
tight 	 AK10LCTRIMF5R20	 pt1000 	 d2beta1 	 85 	 99 	 LEFT 	1.7
tight 	 AK10LCTRIMF5R20	 pt1500 	 tau21   	 95 	 107 	 LEFT 	0.4
tight 	 AK10LCTRIMF5R20	 pt1500 	 c2beta1 	 95 	 107 	 LEFT 	0.054
tight 	 AK10LCTRIMF5R20	 pt1500 	 d2beta1 	 95 	 107 	 LEFT 	1.9
tight 	 AK10LCTRIMF5R30	 pt200  	 tau21   	 83 	 101 	 LEFT 	0.39
tight 	 AK10LCTRIMF5R30	 pt200  	 c2beta1 	 83 	 101 	 LEFT 	0.236
tight 	 AK10LCTRIMF5R30	 pt200  	 d2beta1 	 83 	 101 	 LEFT 	1.3
tight 	 AK10LCTRIMF5R30	 pt350  	 tau21   	 81 	 93 	 LEFT 	0.41
tight 	 AK10LCTRIMF5R30	 pt350  	 c2beta1 	 81 	 93 	 LEFT 	0.156
tight 	 AK10LCTRIMF5R30	 pt350  	 d2beta1 	 81 	 93 	 LEFT 	1.4
tight 	 AK10LCTRIMF5R30	 pt500  	 tau21   	 83 	 95 	 LEFT 	0.44
tight 	 AK10LCTRIMF5R30	 pt500  	 c2beta1 	 83 	 95 	 LEFT 	0.12
tight 	 AK10LCTRIMF5R30	 pt500  	 d2beta1 	 83 	 95 	 LEFT 	1.55
tight 	 AK10LCTRIMF5R30	 pt1000 	 tau21   	 91 	 105 	 LEFT 	0.46
tight 	 AK10LCTRIMF5R30	 pt1000 	 c2beta1 	 91 	 105 	 LEFT 	0.084
