medium 	 AK10LCTRIMF5R20	         84.2200  0.0116900 15.0  1.00952   0.000322370 1.68332e-07  0   0   RIGHT
tight 	 AK10LCTRIMF5R20	         84.2200  0.0116900 15.0  0.514401  0.000851661 -2.0976e-07  0   0   RIGHT
