medium 	 AK10LCTRIMF5R20	         95.7508  0.000168457 15.0  1.081200  0.000107644 3.257100e-07  0   0   RIGHT
tight 	 AK10LCTRIMF5R20	         95.7508  0.000168457 15.0  0.519156  0.000778135 -1.50083e-07  0   0   RIGHT
